Titel;Visualisierungstitel (falls nicht identisch);Quelle - Tags;Datum;Beschreibung;Art der Visualisierung - Tags;Visualisierung der Unsicherheit;Link;Bild;Cluster;coincident / adjacent;implicit / explicit;intrinsic / extrinsic;static / dynamic;type of uncertainty
Klimakrise: Globale Temperaturen lagen 2024 erstmals über der 1,5-Grad-Marke - DER SPIEGEL;Der menschengemachte Klimawandel;SPIEGEL;10.01.2025;Veränderung der globalen Oberflächentemeraptur;Change over Time, Line Chart;Konfidenzintervall durch Fläche dargestellt;https://www.spiegel.de/wissenschaft/natur/klimakrise-globale-temperaturen-lagen-2024-erstmals-ueber-der-1-5-grad-marke-a-af2291e2-8613-4734-9fca-6d5f27285664;SPIEGEL1.png;2: Definite Ranges;coincident;explicit;extrinsic;static;attribute / thematic
Demos gegen rechts: Wenn die Demokratie Zähne zeigt | taz.de;Entwicklung der Demos gegen Rechtsextremismus;taz;09.03.2024;Teilnehmendenanzahl der Demonstrationen nach Monat;Change over Time, Column Chart, Part-to-whole, Stacked Column/Bar Chart;Mindest- und Maximalangaben der Teilnehmenden durch Farben gekennzeichnet;https://taz.de/Demos-gegen-rechts/!5994464/;taz1.png;2: Definite Ranges;coincident;explicit;intrinsic;static;attribute / thematic
What’s happening with the climate crisis and heat-trapping emissions in Australia;Australia's quarterly greenhouse gas emissions and projections compared to targets;Guardian;06.07.2024;Showing Australia's actual quarterly emissions (in millions of metric tonnes of carbon dioxide equivalent), the trend since 2005 and lines representing 43% and 75% reductions from 2005 levels;Change over Time, Line Chart, Slope Chart;Trend und Ziele durch gestrichelte und farbige Linien angezeigt;https://www.theguardian.com/environment/datablog/ng-interactive/2022/oct/03/tracking-australias-progress-on-the-climate-crisis-and-the-consequences-of-global-heating;GUARDIAN2.jpeg;1: Forecast;coincident;explicit;extrinsic;dynamic;temporal
Wie es um unsere Gasversorgung steht;So viel Gas spart Deutschland;ZDF heute;16.03.2025;Aktueller Gasverbrauch im Vergleich zu 1018 - 2021;Change over Time, Line Chart;Der Zeitraum 2018 - 2021 wird zusätzlich zum Mittelwert auch in einer Min-Max Darstellung angegeben, um Schwankungen zu zeigen;https://www.zdf.de/nachrichten/wirtschaft/gasversorgung-energiesicherheit-deutschland-pipelines-russland-100.html;ZDF1.png;2: Definite Ranges;coincident;explicit;extrinsic;static;attribute / thematic
Wie schlimm steht es um die Wirtschaft?;Bruttoinlandsprodukt: Prognose bis 2026;ZDF heute;10.11.2024;prozentuale Entwicklung des Bruttoinlandsprodukt im Zeitverlauf ;Deviation, Diverging Bar Chart;2024 - 2026 werden in Streifen dargestellt, da sie Prognosen sind. Im Untertitel wird zudem auf vorläufige Werte 2021-2023 verwiesen, die aber nicht gekennzeichnet sind;https://www.zdf.de/nachrichten/wirtschaft/deutsche-wirtschaft-krise-inflation-bip-arbeitslosenquote-100.html;ZDF2.png;1: Forecast;coincident;explicit;intrinsic;static;temporal
Trump vs. Harris: So steht es in den Umfragen;Präsidentschaft: Trump oder Harris?;ZDF heute;05.11.2024;Umfrageergebnisse im Zeitverlauf ;Change over Time, Line Chart;Unsicherheitsbereich farblich markiert und durch Erklärung hervorgehoben;https://www.zdf.de/nachrichten/politik/ausland/usa-wahl-harris-trump-umfragen-100.html;ZDF3.png;4: Sampling;coincident;explicit;extrinsic;static;attribute / thematic
Wie erkennt man, wie es der Wirtschaft geht?;Lebenserwartung zum Zeitpunkt der Geburt;ZDF heute;27.03.2024;Entwicklung der Lebenserwartung von 1880 bis heute;Change over Time, Line Chart;Vor 1961 sind die Werte interpoliert, weil unvollständig und deshalb in gestrichelter Linie dargestellt. Außerdem ist die Zeit von 1945 bis 1990 durch graue Fläche gekennzeichnet, da es sich hier nur um die BRD handelt;https://www.zdf.de/nachrichten/wirtschaft/deutsche-wirtschaft-bip-inflation-100.html;ZDF4.png;5: Missing Data;coincident;explicit;extrinsic, intrinsic, unclear;static;temporal, unclear
Windenergie holt noch auf;;Zeit;06.02.2025;Visualisierung der Entwicklung des Windkraftausbaus inklusive Prognose;Change over Time, Column Chart, Part-to-whole, Stacked Column/Bar Chart;die prognostizierten, unsicheren weiteren Genehmigungen sind farblich unterschiedlich und schraffiert. Die hochgerechneten Daten sind jedoch nicht extra visualisiert;https://www.zeit.de/wirtschaft/2025-02/windraeder-ausbau-energiewende-ziele-erneuerbare;ZEIT13.png;1: Forecast;coincident;explicit;intrinsic;static;temporal
Wie verorten Sie die deutschen Parteien;Wo steht die Union?;Zeit;08.02.2025;Abstimmung zur politischen Verortung der einzelnen Parteien in einem Koordinatensystem ;Heatmap, Spatial;Differenzierte Darstellung, die klar zeigt, in welchem Bereich sie sicher (von vielen) verortet wird und in welchem nur vereinzelter;https://www.zeit.de/politik/deutschland/2025-02/bundestagswahl-parteien-wahlprogramme-umfrage;ZEIT14.png;7: Classification;coincident;explicit;intrinsic;dynamic;positional / geometric
Wie Europa seinen Solarboom finanziert;Solar-Installation fast 90% günstiger als noch 2010;DW;21.02.2025;Entwicklung des höchsten, niedrigsten und mittlerem Preis im Zeitverlauf;Change over Time, Line Chart;Schwankungsbereich wird durch Min/Max-Preise als Kontext zum Mittelwert hinzugefügt;https://www.dw.com/de/solarausbau-in-europ%C3%A4ischen-l%C3%A4ndern-photovoltaik-subventionen-f%C3%B6rderung-hausdach-balkon-eigenheim/a-71676260;DW3.png;2: Definite Ranges;coincident;explicit;extrinsic;static;attribute / thematic
Welche Oscarmythen stimmen – und welche falsch sind;"Bewertung der Nominierten in der Kategorie »Bester Film«

";SPIEGEL;01.03.2025;Visualisierung von Metacritic-Bewertungen der Oscar-Nominierten Filme im Zeitverlauf;Change over Time, Correlation, Line Chart, Scatter Plot;Ausreißer des Mittelwertes durch Streuung jedes einzelnen Films angegeben;https://www.spiegel.de/kultur/kino/oscar-2025-im-datencheck-werden-filme-laenger-und-schauspielerinnen-juenger-a-c68756ae-5413-41fa-92f0-c8e0e30571b0;SPIEGEL15.png;2: Definite Ranges;coincident;explicit;extrinsic;dynamic;attribute / thematic
"In welchen Berufen 
Frauen
 mehr verdienen als 
Männer";statistisch ungeklärt;SPIEGEL;07.03.2025;Darstellung der Gründe für den Gender Pay Gap;Part-to-whole, Stacked Column/Bar Chart;Kommunikation des statistisch nicht erklärbaren großen Teils der Daten —> Deep Uncertainty?;https://www.spiegel.de/karriere/gender-pay-gap-und-equal-pay-day-in-welchen-berufen-frauen-mehr-verdienen-als-maenner-a-c890ea7b-d809-4f2c-84bb-bc07a99252ed;SPIEGEL16.png;5: Missing Data;coincident;explicit;intrinsic;static;attribute / thematic
Pegelstände: So viel Wasser führen Elbe, Weser, Ems und andere Flüsse;Wassermenge der Elbe bei Neu Darchau;NDR;26.03.2025;Visualisierung des Pegelstandes zu verschiedenen Zeitpunkten;Change over Time, Line Chart;sowohl gemessener Maximalwert als Vergleichsgröße und Konfidenzintervall;https://www.ndr.de/nachrichten/ndrdata/Pegelstaende-So-viel-Wasser-fuehren-Elbe-Weser-Ems-und-andere-Fluesse,pegel212.html;NDR3.png;2: Definite Ranges, 5: Missing Data;coincident;explicit;extrinsic;static, unclear;attribute / thematic
Was spaltet die deutsche Gesellschaft im Wahlkampf?;“Ausländer verschärfen Kriminalitätsprobleme”;Tagesspiegel;23.02.2025;Zustimmung oder Ablehnung einer Aussage je nach Partei;Distribution, Violin Plot;Der Mittelwert wird ergänzt durch die Schwankung des Mittelwertes und wie die Aussagen streuen / wie geeint eine Partei wirklich ist in ihrer Anhänger*innenschaft;https://interaktiv.tagesspiegel.de/lab/welche-themen-spalten-deutschland-im-wahlkampf-2025/;Tagesspiegel2.png;2: Definite Ranges, 4: Sampling;coincident;explicit;extrinsic;dynamic;attribute / thematic
What the Data Shows About Trump’s Immigration Enforcement So Far;ICE is deporting fewer people than last year;New York Times;04.03.2025;ICE returns and removals;Change over Time, Column Chart;für Dezember keine Daten verfügbar, deshalb Linie gestrichelt;https://www.nytimes.com/interactive/2025/03/04/us/politics/trump-immigration-policies-deportations-data.html?smid=nytcore-android-share;NYT16.jpeg;5: Missing Data;coincident;explicit;intrinsic;static;temporal
How A.I. Is Changing the Way the World Builds Computers;Power consumption by A.I. data centers;New York Times;16.03.2025;Stromverbrauch von Servern vs. AI Servern;Change over Time, Fan Chart, Line Chart;die Projektion wird um eine Range des möglichen Wachstums erweitert;https://www.nytimes.com/interactive/2025/03/16/technology/ai-data-centers.html?smid=nytcore-android-share;NYt17.jpeg;1: Forecast;coincident;explicit;extrinsic;static;temporal
A visual timeline of the collision between a passenger plane and a Black Hawk helicopter in DC;American Airlines flight collided midair with a US Army Black Hawk helicopter;CNN;31.01.2025;Route der Flugzeuge bis zum Absturz;Locator Map, Spatial;unklare Kollisionsstelle durch gestrichelten Kreis gekennzeichnet;https://edition.cnn.com/2025/01/30/us/maps-plane-helicopter-crash-dca-dg/index.html;CNN1.png;3: Spatial;coincident;explicit;intrinsic, unclear;static;positional / geometric
Nine inches in Buffalo and two in Tulsa: How much snow will give kids a snow day across the US?;Tolerance for snow days varies widely across the US;CNN;12.02.2024;durchschnittlicher starker Schneefall in verschiedenen Städten;Distribution, Dot Plot;Minimale und maximale Spannbreite des Schneefalls zur Verdeutlichung der möglichen Range;https://edition.cnn.com/2024/02/12/us/how-much-snow-kids-school-snow-day-across-us-dg/index.html;CNN2.png;2: Definite Ranges;coincident;explicit;extrinsic;static;attribute / thematic
These cities will be too hot for the Olympics by 2050;At least half the cities bidding for the 2036 Summer Olympics could experience unsafe temperatures;CNN;12.08.2024;prognostizierte Durchschnittstemperaturen für mögliche Olympiastädte und deren Hitzeschwellen in 2040-2059;Change over Time, Line Chart;die Range der möglichen Temperaturen wird zur Einschätzung der Hitzeschwelle angegeben;https://edition.cnn.com/2024/08/11/climate/olympics-cities-extreme-heat/index.html;CNN3.png;1: Forecast;coincident;explicit;extrinsic;static;temporal
US heat risk forecast: See where Americans are at the most risk for extreme heat this year;Two-week outlook: Chance that temperatures will be above, below or near normal;CNN;25.03.2025;Wahrscheinlichkeiten für erhöhte oder erniedrigte Temperaturen;Contour Map, Spatial;Prozentuale Sicherheit der zu erwartenden Temperatur durch Farben dargestellt;https://edition.cnn.com/2024/05/26/weather/extreme-heat-risk-tracker-dg/index.html;CNN4.png;1: Forecast, 3: Spatial;coincident;explicit;intrinsic;dynamic;positional / geometric
